"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Janes A.; Lenarduzzi V.; Stan A.C.","Janes, Andrea (7003421075); Lenarduzzi, Valentina (55348964400); Stan, Alexandru Cristian (57194237020)","7003421075; 55348964400; 57194237020","A continuous software quality monitoring approach for small & medium enterprises","2017","ICPE 2017 - Companion of the 2017 ACM/SPEC International Conference on Performance Engineering","","","","97","100","3","19","10.1145/3053600.3053618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019494494&doi=10.1145%2f3053600.3053618&partnerID=40&md5=76b3d4984744dbb4a9dbd186965a475e","Conference paper","Final","","Scopus","2-s2.0-85019494494"
"Field T.; Chatley R.; Wei D.","Field, Tony (7201911006); Chatley, Robert (56633043600); Wei, David (57203514836)","7201911006; 56633043600; 57203514836","Software performance testing in virtual time","2018","ICPE 2018 - Companion of the 2018 ACM/SPEC International Conference on Performance Engineering","2018-January","","","173","174","1","4","10.1145/3185768.3186409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052024282&doi=10.1145%2f3185768.3186409&partnerID=40&md5=e6573510cfc86a4741cb2ba09ccb0dbc","Conference paper","Final","","Scopus","2-s2.0-85052024282"
"Nambiar M.","Nambiar, Manoj (24833362900)","24833362900","Performance Engineering Roles in Industry: Challenges and Knowledge/Skills/Experience Required to meet them","2019","ICPE 2019 - Companion of the 2019 ACM/SPEC International Conference on Performance Engineering","","","","63","64","1","0","10.1145/3302541.3311524","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064690126&doi=10.1145%2f3302541.3311524&partnerID=40&md5=581e50e430c23e9fd8889e4d0ede4a07","Conference paper","Final","","Scopus","2-s2.0-85064690126"
"Woodside M.","Woodside, Murray (7004719065)","7004719065","Open-perspective modeling of software systems","2017","ICPE 2017 - Companion of the 2017 ACM/SPEC International Conference on Performance Engineering","","","","211","215","4","0","10.1145/3053600.3053651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019434967&doi=10.1145%2f3053600.3053651&partnerID=40&md5=eac750bf007ffeef55259e2d980d9f58","Conference paper","Final","","Scopus","2-s2.0-85019434967"
"Okanović D.; Beck S.; Merz L.; Zorn C.; Merino L.; Van Hoorn A.; Beck F.","Okanović, Dušan (45561466200); Beck, Samuel (57217046218); Merz, Lasse (57217050547); Zorn, Christoph (25650925700); Merino, Leonel (56613081100); Van Hoorn, André (26421837600); Beck, Fabian (25824730200)","45561466200; 57217046218; 57217050547; 25650925700; 56613081100; 26421837600; 25824730200","Can a chatbot support software engineers with load testing? approach and experiences","2020","ICPE 2020 - Proceedings of the ACM/SPEC International Conference on Performance Engineering","","","","120","129","9","19","10.1145/3358960.3375792","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085954717&doi=10.1145%2f3358960.3375792&partnerID=40&md5=5539286821ac8d4d4baffc2712895ec0","Conference paper","Final","","Scopus","2-s2.0-85085954717"
"Tay Y.C.","Tay, Y.C. (24342471200)","24342471200","Lessons from Teaching Analytical Performance Modeling","2019","ICPE 2019 - Companion of the 2019 ACM/SPEC International Conference on Performance Engineering","","","","79","84","5","3","10.1145/3302541.3311527","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064653630&doi=10.1145%2f3302541.3311527&partnerID=40&md5=819a570bc0adb0b02c2497a6c4031c48","Conference paper","Final","","Scopus","2-s2.0-85064653630"
"Iffländer L.; Fella N.","Iffländer, Lukas (56368532200); Fella, Nicolas (57208401104)","56368532200; 57208401104","Performance Influence of Security Function Chain Ordering","2019","ICPE 2019 - Companion of the 2019 ACM/SPEC International Conference on Performance Engineering","","","","45","46","1","4","10.1145/3302541.3311965","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064647875&doi=10.1145%2f3302541.3311965&partnerID=40&md5=40baa3aea2dd6fcb96dd73e9a36ff9ba","Conference paper","Final","","Scopus","2-s2.0-85064647875"
"Van Der Sar J.; Donkervliet J.; Iosup A.","Van Der Sar, Jerom (57208440950); Donkervliet, Jesse (56377366500); Iosup, Alexandru (23392350500)","57208440950; 56377366500; 23392350500","Yardstick: A benchmark for minecraft-like services","2019","ICPE 2019 - Proceedings of the 2019 ACM/SPEC International Conference on Performance Engineering","","","","242","252","10","6","10.1145/3297663.3310307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064811726&doi=10.1145%2f3297663.3310307&partnerID=40&md5=3bfcb2e811ecfc5ef72ff7fc93e07475","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85064811726"
"Avritzer A.","Avritzer, Alberto (7003345567)","7003345567","Automated scalability assessment in devops environments","2020","ICPE 2020 - Companion of the ACM/SPEC International Conference on Performance Engineering","","","","10","","","0","10.1145/3375555.3384936","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086017481&doi=10.1145%2f3375555.3384936&partnerID=40&md5=64ea8965e2aab63c3231142009155997","Conference paper","Final","","Scopus","2-s2.0-85086017481"
"Bowen L.; Lupo C.","Bowen, Lucy (57209318172); Lupo, Chris (54894629300)","57209318172; 54894629300","The performance cost of software-based security mitigations","2020","ICPE 2020 - Proceedings of the ACM/SPEC International Conference on Performance Engineering","","","","210","217","7","4","10.1145/3358960.3379139","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085910740&doi=10.1145%2f3358960.3379139&partnerID=40&md5=1ae16b87ffb6e78e5f86a5ab1aa6ac6e","Conference paper","Final","","Scopus","2-s2.0-85085910740"
