"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"","","","Advances in Modal Logic 2008","2008","Advances in Modal Logic 2006","7","","","","","406","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858681558&partnerID=40&md5=4a7d84193866aca4e7ccccdb11cf1a0e","Conference review","Final","","Scopus","2-s2.0-84858681558"
"Tiu A.; Ianovski E.; Goré R.","Tiu, Alwen (8961912700); Ianovski, Egor (55810598700); Goré, Rajeev (7102540943)","8961912700; 55810598700; 7102540943","Grammar logics in nested sequent calculus: Proof theory and decision procedures","2014","Advances in Modal Logic","9","","","516","537","21","9","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906735890&partnerID=40&md5=36a1495bd7cd403a6eb295c31b26c85f","Conference paper","Final","","Scopus","2-s2.0-84906735890"
"Kurz A.; Venema Y.","Kurz, Alexander (35817688100); Venema, Yde (6603586695)","35817688100; 6603586695","Coalgebraic Lindström theorems","2010","Advances in Modal Logic 2006","8","","","292","309","17","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858671874&partnerID=40&md5=29b7250a51236cf3bbdccffc52ebaa25","Conference paper","Final","","Scopus","2-s2.0-84858671874"
"Bílková M.; Majer O.; Peliš M.; Restall G.","Bílková, Marta (56109602900); Majer, Ondrej (35092772000); Peliš, Michal (26035146000); Restall, Greg (16449732900)","56109602900; 35092772000; 26035146000; 16449732900","Relevant agents","2010","Advances in Modal Logic 2006","8","","","22","38","16","19","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858633111&partnerID=40&md5=2a4119724e00ba3c6fb74422d151455b","Conference paper","Final","","Scopus","2-s2.0-84858633111"
"Goré R.; Ramanayake R.","Goré, Rajeev (7102540943); Ramanayake, Revantha (55115703900)","7102540943; 55115703900","Valentini's cut-elimination for provability logic resolved","2008","Advances in Modal Logic 2006","7","","","67","86","19","9","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78449231379&partnerID=40&md5=ce0f4fcc6e938f5374ec20287f1b397a","Conference paper","Final","","Scopus","2-s2.0-78449231379"
"Kikot S.; Shapirovsky I.; Zolin E.","Kikot, Stanislav (50262220100); Shapirovsky, Ilya (8716184900); Zolin, Evgeny (23399170500)","50262220100; 8716184900; 23399170500","Filtration safe operations on frames","2014","Advances in Modal Logic","10","","","333","352","19","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924658562&partnerID=40&md5=688e9cddd672a55d547a12d58a55950d","Conference paper","Final","","Scopus","2-s2.0-84924658562"
"Gorbunov I.","Gorbunov, Igor (55113733300)","55113733300","A decidable modal logic that is finitely undecidable","2006","Advances in Modal Logic 2006","6","","","247","258","11","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858629226&partnerID=40&md5=ecc9c24076a6ae6f98ad79212f3697af","Conference paper","Final","","Scopus","2-s2.0-84858629226"
"Goldblatt R.; Mares E.D.","Goldblatt, Robert (7003578942); Mares, Edwin D. (6602895467)","7003578942; 6602895467","A general semantics for quantified modal logic","2006","Advances in Modal Logic 2006","6","","","227","246","19","13","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-49949103454&partnerID=40&md5=cb35d3ff57f29a59e87a78651a7db97b","Conference paper","Final","","Scopus","2-s2.0-49949103454"
"Santocanale L.; Venema Y.","Santocanale, Luigi (56188785700); Venema, Yde (6603586695)","56188785700; 6603586695","Uniform interpolation for monotone modal logic","2010","Advances in Modal Logic 2006","8","","","350","370","20","21","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858677348&partnerID=40&md5=fcd8a1ed675167a17bce9d3084ba065c","Conference paper","Final","","Scopus","2-s2.0-84858677348"
"Herzig A.; Schwarzentruber F.","Herzig, Andreas (7004448048); Schwarzentruber, François (36705319600)","7004448048; 36705319600","Properties of logics of individual and group agency","2008","Advances in Modal Logic 2006","7","","","133","149","16","60","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954592125&partnerID=40&md5=b6bca41a37e55d70c2146a847f9fbc2b","Conference paper","Final","","Scopus","2-s2.0-79954592125"
"Van Ditmarsch H.; French T.; Pinchinat S.","Van Ditmarsch, Hans (57215882990); French, Tim (13611425300); Pinchinat, Sophie (8661235300)","57215882990; 13611425300; 8661235300","Future event logic - Axioms and complexity","2010","Advances in Modal Logic 2006","8","","","77","99","22","21","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858641193&partnerID=40&md5=49bfb748a49426230147048d5de9ff71","Conference paper","Final","","Scopus","2-s2.0-84858641193"
"Shapirovsky I.","Shapirovsky, Ilya (8716184900)","8716184900","Downward-directed transitive frames with universal relations","2006","Advances in Modal Logic 2006","6","","","413","428","15","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-35848964761&partnerID=40&md5=37b103fa987b98da68f1e3f1291e0a53","Conference paper","Final","","Scopus","2-s2.0-35848964761"
"French T.; Van Ditmarsch H.","French, Tim (13611425300); Van Ditmarsch, Hans (57215882990)","13611425300; 57215882990","Undecidability for arbitrary public announcement logic","2008","Advances in Modal Logic 2006","7","","","23","42","19","53","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053110538&partnerID=40&md5=fa5159acd66e3e29ff90c6808c0f65f4","Conference paper","Final","","Scopus","2-s2.0-80053110538"
"Fan J.; Wang Y.; Van Ditmarsch H.","Fan, Jie (56434947400); Wang, Yanjing (23468057900); Van Ditmarsch, Hans (57215882990)","56434947400; 23468057900; 57215882990","Almost necessary","2014","Advances in Modal Logic","10","","","178","196","18","30","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914143026&partnerID=40&md5=130d108b5f56c56ffd0faad84c43299b","Conference paper","Final","","Scopus","2-s2.0-84914143026"
"Brünnler K.; Goetschi R.; Kuznets R.","Brünnler, Kai (12142790300); Goetschi, Remo (55071039700); Kuznets, Roman (14030152500)","12142790300; 55071039700; 14030152500","A syntactic realization theorem for justification logics","2010","Advances in Modal Logic 2006","8","","","39","58","19","12","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955827589&partnerID=40&md5=4ecf3c587e3697209dfdf7d6fc76f20f","Conference paper","Final","","Scopus","2-s2.0-79955827589"
"Martin E.","Martin, Eric (55457009200)","55457009200","Quantification over names and modalities","2006","Advances in Modal Logic 2006","6","","","353","372","19","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858642605&partnerID=40&md5=b98984001e4d7eaea9a30d9297c88d20","Conference paper","Final","","Scopus","2-s2.0-84858642605"
"Goré R.; Postniece L.; Tiu A.","Goré, Rajeev (7102540943); Postniece, Linda (25121653100); Tiu, Alwen (8961912700)","7102540943; 25121653100; 8961912700","Cut-elimination and proof-search for bi-intuitionistic logic using nested sequents","2008","Advances in Modal Logic 2006","7","","","43","66","23","32","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68749107899&partnerID=40&md5=5aff0fff87166360eac26dbd870d15cc","Conference paper","Final","","Scopus","2-s2.0-68749107899"
"Nguyen L.A.","Nguyen, Linh Anh (7202156782)","7202156782","On the deterministic Horn fragment of test-free PDL","2006","Advances in Modal Logic 2006","6","","","373","392","19","16","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858665396&partnerID=40&md5=234b52bc452d80e96377eb1e12eeb0d2","Conference paper","Final","","Scopus","2-s2.0-84858665396"
"Shatrov T.","Shatrov, Timofei (55115742800)","55115742800","On the intermediate logic of open subsets of metric spaces","2008","Advances in Modal Logic 2006","7","","","305","313","8","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858695972&partnerID=40&md5=6f86d21f24aa17df07e8ae4d1fe6acc5","Conference paper","Final","","Scopus","2-s2.0-84858695972"
