"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Ben Mokhtar S.; Pace A.; Quéma V.","Ben Mokhtar, Sonia (13103948100); Pace, Alessio (35100811400); Quéma, Vivien (8916114900)","13103948100; 35100811400; 8916114900","FireSpam: Spam resilient gossiping in the BAR model","2010","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5623397","225","234","9","8","10.1109/SRDS.2010.33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650577352&doi=10.1109%2fSRDS.2010.33&partnerID=40&md5=bef78045c74d039ddf6dffe7c030255b","Conference paper","Final","","Scopus","2-s2.0-78650577352"
"Zhang Y.; Bhargava B.; Hurni P.","Zhang, Yu (57196212704); Bhargava, Bharat (7103137823); Hurni, Philipp (24721355100)","57196212704; 7103137823; 24721355100","The effects of threading, infection time, and multiple-attacker collaboration on malware propagation","2009","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5283444","73","82","9","6","10.1109/SRDS.2009.17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74949102166&doi=10.1109%2fSRDS.2009.17&partnerID=40&md5=8c86db0e074b0f1821995858b764c78a","Conference paper","Final","","Scopus","2-s2.0-74949102166"
"Datta A.K.; Devismes S.; Larmore L.L.","Datta, Ajoy K. (7402110494); Devismes, Stéphane (8922025800); Larmore, Lawrence L. (7004345503)","7402110494; 8922025800; 7004345503","A self-stabilizing O(n)-round k-clustering algorithm","2009","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5283347","147","155","8","23","10.1109/SRDS.2009.13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74949144059&doi=10.1109%2fSRDS.2009.13&partnerID=40&md5=797d9cbd357b93afac704f0cca15a5df","Conference paper","Final","","Scopus","2-s2.0-74949144059"
"Milosevic Z.; Hutle M.; Schiper A.","Milosevic, Zarko (57197638073); Hutle, Martin (9333160200); Schiper, André (23478485400)","57197638073; 9333160200; 23478485400","On the reduction of atomic broadcast to consensus with Byzantine faults","2011","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","6076782","235","244","9","14","10.1109/SRDS.2011.36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83155160984&doi=10.1109%2fSRDS.2011.36&partnerID=40&md5=82ea2c9940c5351f48c5dd3c05181a35","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-83155160984"
"Chen H.; Jiang G.; Yoshihira K.; Saxena A.","Chen, Haifeng (35241923100); Jiang, Guofei (12244201300); Yoshihira, Kenji (14026280900); Saxena, Akhilesh (18435442300)","35241923100; 12244201300; 14026280900; 18435442300","Invariants based failure diagnosis in distributed computing systems","2010","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5623388","160","166","6","20","10.1109/SRDS.2010.26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650628475&doi=10.1109%2fSRDS.2010.26&partnerID=40&md5=a83895417952c76d63f41f2c90e66395","Conference paper","Final","","Scopus","2-s2.0-78650628475"
"Yang E.Y.; Matthews B.","Yang, Erica Y. (23993299800); Matthews, Brian (16643340700)","23993299800; 16643340700","DToken: A lightweight and traceable delegation architecture for distributed systems","2009","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5283397","107","116","9","2","10.1109/SRDS.2009.31","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74949094450&doi=10.1109%2fSRDS.2009.31&partnerID=40&md5=42001dcfba20e01d2edee4d6842a024f","Conference paper","Final","","Scopus","2-s2.0-74949094450"
"Jimenez-Peris R.","Jimenez-Peris, Ricardo (6701424390)","6701424390","Message from the general chair","2011","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","6076799","7","","","0","10.1109/SRDSW.2011.5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83255176934&doi=10.1109%2fSRDSW.2011.5&partnerID=40&md5=dd9a7505eb77ddd8f31502d7b75f7812","Editorial","Final","","Scopus","2-s2.0-83255176934"
"Brancati F.; Bondavalli A.","Brancati, Francesco (35219618500); Bondavalli, Andrea (7003671080)","35219618500; 7003671080","Practical aspects in analyzing and sharing the results of experimental evaluation","2010","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5623408","328","332","4","2","10.1109/SRDS.2010.46","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650575784&doi=10.1109%2fSRDS.2010.46&partnerID=40&md5=9c1469729ca400a38d310344275b4713","Conference paper","Final","","Scopus","2-s2.0-78650575784"
"Bonakdarpour B.; Bozga M.; Gössler G.","Bonakdarpour, Borzoo (8853449200); Bozga, Marius (8637998400); Gössler, Gregor (6507800229)","8853449200; 8637998400; 6507800229","A theory of fault recovery for component-based models","2011","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","6076785","265","270","5","3","10.1109/SRDS.2011.39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83155184606&doi=10.1109%2fSRDS.2011.39&partnerID=40&md5=7330dd8f3dc10212e78bccefbc3b5c02","Conference paper","Final","","Scopus","2-s2.0-83155184606"
"Ruiz-Fuertes M.I.; Muñoz-Escoí F.D.","Ruiz-Fuertes, M.I. (13411079300); Muñoz-Escoí, F.D. (6507651986)","13411079300; 6507651986","Performance evaluation of a metaprotocol for database replication adaptability","2009","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5283491","32","38","6","4","10.1109/SRDS.2009.34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74949096442&doi=10.1109%2fSRDS.2009.34&partnerID=40&md5=1c469aa796750ad1a413b09570ebf058","Conference paper","Final","","Scopus","2-s2.0-74949096442"
"Vu H.; Nguyen T.; Mittal N.; Venkatesan S.","Vu, Hai (57217704579); Nguyen, Thuc (55473698900); Mittal, Neeraj (7006040784); Venkatesan, S. (35319378900)","57217704579; 55473698900; 7006040784; 35319378900","PEQ: A privacy-preserving scheme for exact query evaluation in distributed sensor data networks","2009","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5283304","189","198","9","6","10.1109/SRDS.2009.14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74949096443&doi=10.1109%2fSRDS.2009.14&partnerID=40&md5=295f74d2e6b12e9a95b7bf46a430f165","Conference paper","Final","","Scopus","2-s2.0-74949096443"
"Zhang B.; Ravindran B.","Zhang, Bo (57199725729); Ravindran, Binoy (7005658995)","57199725729; 7005658995","Location-aware cache-coherence protocols for distributed transactional contention management in metric-space networks","2009","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5283204","268","277","9","6","10.1109/SRDS.2009.33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-75149146913&doi=10.1109%2fSRDS.2009.33&partnerID=40&md5=fd0b559a1aa6e20ced1788fe4e6bfd9e","Conference paper","Final","","Scopus","2-s2.0-75149146913"
